country,code,continent,region,subregion,economicState,lat,lon,gpi2014,gpi2015,gpi2016,gpi2017,gpi2018,hdi2014,hdi2015,hdi2016,hdi2017,hdi2018
Jordan,JOR,Asia,Western Asia,,Developing,31.57N,35.52E,1.861,1.944,2.127,2.087,2.104,0.73,0.733,0.735,0.735,0.735
Kazakhstan,KAZ,Asia,Central Asia,,Developing,51.10N,71.30E,2.15,2.008,2.019,1.992,1.974,0.793,0.797,0.797,0.8,0.8
Kenya,KEN,Africa,Sub-Saharan Africa,Eastern Africa,Developing,01.17S,36.48E,2.452,2.342,2.379,2.336,2.354,0.572,0.578,0.585,0.59,0.59
Kuwait,KWT,Asia,Western Asia,,Developing,29.30N,48.00E,1.679,1.626,1.842,1.909,1.799,0.799,0.802,0.804,0.803,0.803
Kyrgyzstan,KGZ,Asia,Central Asia,,Developing,42.54N,74.46E,2.382,2.249,2.297,2.21612,2.181,0.663,0.666,0.669,0.672,0.672
Latvia,LVA,Europe,Northern Europe,,Developed,56.53N,24.08E,1.745,1.695,1.68,1.67,1.689,0.838,0.841,0.844,0.847,0.847
Lebanon,LBN,Asia,Western Asia,,Developing,33.53N,35.31E,2.62,2.623,2.752,2.782,2.778,0.751,0.752,0.753,0.757,0.757
Lesotho,LSO,Africa,Sub-Saharan Africa,Southern Africa,Developing,29.18S,27.30E,1.839,1.891,1.941,2.06628,2.144,0.509,0.511,0.516,0.52,0.52
Liberia,LBR,Africa,Sub-Saharan Africa,Western Africa,Developing,06.18N,10.47W,2.014,1.963,1.998,2.0231,1.931,0.431,0.432,0.432,0.435,0.435
Libya,LBY,Africa,Northern Africa,,Developing,32.49N,13.07E,2.453,2.819,3.2,3.328,3.262,0.695,0.694,0.693,0.706,0.706
Lithuania,LTU,Europe,Northern Europe,,Developed,54.38N,25.19E,1.797,1.674,1.735,1.732,1.749,0.851,0.852,0.855,0.858,0.858
Madagascar,MDG,Africa,Sub-Saharan Africa,Eastern Africa,Developing,18.55S,47.31E,1.942,1.911,1.763,1.797,1.766,0.512,0.514,0.517,0.519,0.519
Malawi,MWI,Africa,Sub-Saharan Africa,Eastern Africa,Developing,14.00S,33.48E,1.995,1.814,1.817,1.825,1.811,0.468,0.47,0.474,0.477,0.477
Malaysia,MYS,Asia,South-eastern Asia,,Developing,03.09N,101.41E,1.659,1.561,1.648,1.637,1.619,0.79,0.795,0.799,0.802,0.802
Mali,MLI,Africa,Sub-Saharan Africa,Western Africa,Developing,12.34N,07.55W,2.465,2.31,2.489,2.596,2.686,0.414,0.418,0.421,0.427,0.427
Mauritius,MUS,Africa,Sub-Saharan Africa,Eastern Africa,Developing,20.16S,57.50E,1.544,1.503,1.559,1.547,1.548,0.782,0.782,0.788,0.79,0.79
Mauritania,MRT,Africa,Sub-Saharan Africa,Western Africa,Developing,20.10S,57.30E,2.35,2.262,2.295,2.355,2.355,0.514,0.514,0.516,0.52,0.52
Morocco,MAR,Africa,Northern Africa,,Developing,33.97N,6.85W,1.915,2.002,2.086,2.00415,1.979,0.65,0.655,0.662,0.667,0.667
Mexico,MEX,Americas,Latin America and the Caribbean,Central America,Developing,19.20N,99.10W,2.5,2.53,2.557,2.646,2.583,0.761,0.767,0.772,0.774,0.774
Mongolia,MNG,Asia,Eastern Asia,,Developing,47.89N,106.91E,1.778,1.706,1.838,1.801,1.821,0.734,0.737,0.743,0.741,0.741
Mozambique,MOZ,Africa,Sub-Saharan Africa,Eastern Africa,Developing,25.58S,32.32E,2.004,1.976,1.963,2.0131,2.056,0.427,0.432,0.435,0.437,0.437
